Id,Topic,Question
1,Personnel Regulations,"Does the Programme Office have national personnel regulations, including a salary scale, adapted and in conformity with local legislation and HO guidelines?"
2,Personnel Regulations,"When new staff is employed, is it ensured that the persons most suitable are recruited transparently and efficiently?"
3,Personnel Regulations,"Is the policy of equal chances assured (Gender, ethnic groups, language) in the recruitment process?"
4,Personnel Regulations,Does the Programme Office ensure that their employees discharge their duties according to their employment contracts?
5,Personnel Regulations,Does the Programme Office ensure that their employees respect the current laws and obligations with regard to their employment?
6,Personnel Regulations,Are the Terms of Reference or job descriptions available for all positions in the Programme Office and the projects?
7,Personnel Regulations,Is the staff performance checked regularly with an annual appraisal and are the necessary development measures agreed upon?
8,Personnel Regulations,Are the necessary measures available for developing staff competences?
9,Personnel Regulations,Are the financial aspects of the employment contracts administered in a regular and effective manner?
10,Personnel Regulations,Is the payroll prepared following appropriate state regulations and the National Personnel Regulations of the Programme Office?
11,Personnel Regulations,Are the payroll records reconciled every month with the Salary Register?
12,Personnel Regulations,"Does the CD / PM monitor the time registration of local staff on a monthly basis? (for those registering in Sangama - based on Sangama Time reports; and for those maintaining in Excel (or other tools), relevant reports)"
13,Personnel Regulations,Does the Programme Office have a timely process for filling vacant positions or in case of absences of the local staff to prevent an interruption of program services or disruption to the organization’s operations?
14,Personnel Regulations,Are the relevant rules and procedures adhered to in case of termination of employment contracts?
15,Personnel Regulations,"If by National Legislation required, is a Gratuity Fund (terminal benefit) system established according to the instructions in the FM HO and managed by the Programme Office based on national regulations?"
16,Internal Controls,"Are the job descriptions of all staff members approved, signed and stored in the Human resources records?"
17,Internal Controls,Do invoice processing procedures provide for checking relevant docuements and the accuracy of calculations?
18,Internal Controls,"Do you implement double signatures bank payments instructions, cheques, and e-banking?"
19,Internal Controls,Do you implement controls over the cash management as per internal rules?
20,Internal Controls,Do you ensure that no one has unauthorised access to the passwords tools of the e-banking connections?
21,Internal Controls,"Is the segregation of duties document for staff responsibilities established and applied? (for e.g., between cashier and accountant)"
22,Internal Controls,Does the Project Office send written confirmation for receipt of funds from Programme office when funds are credited in the project bank account?
23,Internal Controls,"Is there a system of adequate safeguards to protect assets from fraud, waste or mis-use?"
24,Internal Controls,Are the sale and disposal of fixed assets implemented as per policy laid down in the National Finance Manual?
25,Internal Controls,Are regular checks made on the use of vehicles and their mileage?
26,Internal Controls,Are the exceptional private use of office vehicles monitored and costs recovered from the concerned staff?
27,Internal Controls,Are Banana accounting transactions cross checked with the physical vouchers at regular intervals?
28,Internal Controls,Are controls performed over the correctness of the voucher and existance of adequate supporting documents?
29,Internal Controls,Are the controls performed on the correctnes of the calculation of travel advance and expenses claims and approved by the relevant function?
30,Internal Controls,Are all advances and their settlements monitored systematically (using Advance monitoring sheet)?
31,Internal Controls,Are the fund requests sent to Programme Office checked and approved by the authorised signatories?
32,Internal Controls,Are the fund requests verified and signed by the authorised person to confirm their correctness/limits to the annually approved budget?
